report_text,source_name
11 mars 1985 n° de série continue 292 bulletin n° 4,AA_AF_VG_Rhone-Alpes_1985_004
arbres fruitiers,AA_AF_VG_Rhone-Alpes_1985_004
"cloque du pecherl'évolution des bourgeons est très hétérogène selon les zones et selon les variétés. on trouve des plantations n'ayant pas encore bougé, et d'autres où les yeux même latéraux sont déjà avancés. la décision de traiter ou de retraiter sera donc directement fonction de vos observations. tenir compte du fait que les dernières pluies ont été favorables aux contaminations.
nous rappelons que les produits utilisables sont :
- le zirame à 180 g de matière active/hl
- le thirame à 175 g de m.a./hl
- le ferbame à 175 g de m.a./hl
- le captafol à 120 g de m.a./hl",AA_AF_VG_Rhone-Alpes_1985_004
"traitements d'hiverils sont encore possible dans certaines situations. lorsque le débourrement est proche, utiliser alors les oléoparathions à la dose de 1,5 1/hl sauf pour les psylles contre lesquels les colorants nitrés à la dose de 600 g/hl restent encore efficaces tant que le stade c n'est pas atteint et que les premières éclosions n'ont pas eu lieu. bien mouiller la totalité des rameaux.",AA_AF_VG_Rhone-Alpes_1985_004
stades phenologiques :conservez le tableau ci-joint. nous y ferons souvent référence au cours de la campagne.,AA_AF_VG_Rhone-Alpes_1985_004
vigne,AA_AF_VG_Rhone-Alpes_1985_004
"traitements d'hiver :ne tardez pas trop pour les realiser
- les traitements à l'arsénite de soude doivent être impérativement réalisés 2 à 3 semaines avant le débourrement.
- après le stade b, les traitements l base d'huiles jaunes pourront être remplacés par un oléoparathion à 45 g de m.a./hl. \",AA_AF_VG_Rhone-Alpes_1985_004
"excoriose :attendez pour les traitements ""debourrement""
si vous avez choisi d'effectuer un traitement au débourrement, vous pourrez utiliser un des produits de la liste suivante.
ces produits s'appliquent au stade d -et e. il est donc encore trop tôt pour traiter. mais surveillez bien les stades végétatifs au moment du débourrement.
- dichlofluanide à 200 g de m.a./hl
- dithianon à 50 g de m.a./hl
- folpel à 150 g de m.a./hl
- mancozèbe à 280 g de m.a./hl
- métirame de zinc à 320 g de m.a./hl
- propinèbe à 280 g de m.a./hl
- soufre à 1000 g de m.a./hl
nombreuses associations à base de matières actives déjà citées, ou de cymoxanil, phoséthyl al.
on évitera l'emploi des spécialités à base de métalaxyl (acylon super f) ou d'ofurace (caltan, vamin) en raison des phénomènes de résistance du mildiou à ce type de produit.",AA_AF_VG_Rhone-Alpes_1985_004
feu bacterien des rosaceesarrêtes ministériels des 24.12.84 et 02.02.85,AA_AF_VG_Rhone-Alpes_1985_004
"article 1er -tout propriétaire ou exploitant est tenu en cas de découverte de contamination par le feu bactérien, d'en faire immédiatement la déclaration auprès du ministère de l'agriculture, servi ce régional de la protection des végétaux 55 rue mazenod - 69 426 lyon cédex 3.",AA_AF_VG_Rhone-Alpes_1985_004
"article 2me -sont interdites : la multiplication, la commercialisation et la plantation des végétaux appartenant aux genres, espèces, variétés et cultivars .suivants :",AA_AF_VG_Rhone-Alpes_1985_004
"article 3me -là où existe un foyer de contamination de feu bactérien, il est défini une zone de sécurité où sont appliquées des mesures particulières.",AA_AF_VG_Rhone-Alpes_1985_004
"article 10e -des dérogations pouvant être accordées par le chef du service régional de la protection des végétaux, pendant une période de 18 mois.
en application de l'arrêté ministériel :
— la multiplication et la plantation des végétaux cités ci-dessus sont interdites, sauf dérogation demandée au
service régional de la protection des végétaux 55 rue mazenod 69 426- lyon cédex 3
jusqu'au 2 aout 1986
à partir du 2 août 1986, toute plantation de ces végétaux est interdite sur tout le territoire.
- de nouvelles prospections seront effectuees en 1985 sur l'ensemble de notre region actuellement consideree indemne de feu bacterien.",AA_AF_VG_Rhone-Alpes_1985_004
"pêcherbourgeon d'hiver.
bourgeon gonflé.
on voit le calice.
on voit la corolle
on voit les étamines.
fleur ouverte.
chute des pétales.
fruit noué
jeune fruit.
d'apres baggiolini (stations federales d'essais agricoles de lausanne)",AA_AF_VG_Rhone-Alpes_1985_004
"cerisierbourgeon d'hiver.
bourgeon gonflé.
boutons visibles.
les boutons se séparent.
on voit les étamines.
fleur ouverte.
chute des pétales.
nouaison.
le calice tombe.
jeune fruit.
dapres baggiolim (stations federales d'essais agricoles de lausanne)",AA_AF_VG_Rhone-Alpes_1985_004
supplément n° 1 au bulletin n° 120 de septembre j 970,AA_TC_Bourgogne_Franche_comte_1970_029
arbres fru it iers,AA_TC_Bourgogne_Franche_comte_1970_029
"dupoirier :ce petit charançon destructeur de bourgeons floraux a généralement disparu de la plupart des cultures, mais dans les rares vergers contaminés il est conseillé d'effectuer une pulvérisation copieuse avec l'un des insecticides suivants :
- d d 1 : dose 100 gr. de matière active p2r hl de bouillie ;
- méthoxychlore : 100 gr. "" "" "" "" ;
- lindanc : 12 gr. "" "" "" "" ;
respecter strictement les dates limites d'emploi des insecticides avant récolte (voir bulletin n° 115 d'avril 1970).",AA_TC_Bourgogne_Franche_comte_1970_029
colz a,AA_TC_Bourgogne_Franche_comte_1970_029
"gra:nous rappelons que deux herbicides peuvent être utilises sur colza pour la destruction des graminées adventices, ce sont :",AA_TC_Bourgogne_Franche_comte_1970_029
"le :utilisé à la dose de 1,8 - 2,5 kg de matière active à l'hectare et valable sur l'ensemble dos graminées, y compris les repousses do céréales, ce produit doit être appliqué du stade cotylédonaire au stade rosette du colza, avant que le bourgeon terminal se sépare du collet et dès que la majorité des graminées est levée.
le dalapon sensibilise le colza au froid et ne doit donc pas être utilisé trop tardivement.",AA_TC_Bourgogne_Franche_comte_1970_029
"le t.c.a. :utilisé à la dose de 5 à 7 kg de matière active à l'hectare est efficace sur vulpins jeunes, avant tallage. la végétation du colza doit être comprise entre le stade 2 à 3 feuilles (en plus des cotylédons) et le stade rosette.
traiter lorsque le sol est humide et avant le début des fortes gelées.",AA_TC_Bourgogne_Franche_comte_1970_029
