,report_text,Bioagressor,Disease,hazard_list,source_name
0,"BULLETIN DE SANTE DU VEGETAL POUR DE BONNES PRATIQUES AGRICOLES Nord Pas-de-Calais et Picardie Bulletin n° 17 du 29 juillet 2009 - 2 pages Céleris, choux à choucroute Sclérotinia Des dégâts de sclérotinia, Sclerotinia sclé- rotiorum sont observables sur cultures de céleris ou choux à choucroute (secteur de Campagne-les-Hesdin). Les parcelles à rotations courtes entre deux légumes sont les plus concernées. Le pourcentage de em modéré (environ 1%), mais la capacité de conservation du champignon dans le sol et sa faculté à se propager en fin de culture ou en cours de conservation en font un patho- gène redoutable. A surveiller. Salades, épinard Noctuelles Les captures de noctuelles sont importan- tes en Picardie. Des chenilles sont égale- ment fréquemment observables sur sala- des sur la plupart des secteurs. Choux-fleurs, choux, radis, navet Mouche du chou Les pontes de mouche du chou diminuent sur l’ensemble des sites de piégeage. Les pontes sont supérieures",1,0,#chenille #mouche #noctuelle #mouche du chou ,Bul_leg_no17_cle0cd98e
1,"œufs/chou sur 10% des choux sur le secteur de Campa- gne-les-Hesdin et 20% des choux-fleurs à St Omer. Les pontes sont très faibles à nulles sur les autres sites. Le 2ème vol sem- ble donc s’achever. Tous ravageurs aériens La situation est globalement saine. Quel- ques altises sont observables, particuliè- rement en Agriculture Biologique ou sur les parcelles non traitées récemment. Nous notons pour le moment en moyenne altises/plante et au maximum 4 individus/ plante. Les dég âts restent donc limités mais ce ravageur est à surveiller sur les cultures les plus sensibles (radis, jeunes sem is de navet, jeunes p lantat ions de choux-fleurs). Les chenilles se font toujours moins nom- breuses.",1,0,#chenille #altise ,Bul_leg_no17_cle0cd98e
2,"Quelques piérides du chou sont observables à certains endroits. Le stade (1er ou 2ème stade larvaire) et le comporte- ment grégaire (nombreuses chenilles re- groupées sur un même plant) indiquent des éclosions récentes. encore, une observation attentive et régulière des par- celles permettra de déterminer si le seuil de nuisibilité est atteint. Aucune parcelle du réseau d’observation n’était dans ce cas en ce début de semaine. Les pucerons sont également peu pré- sents. Il est possible d ’observer parfois une colonie isolée. Le nombre d’individus peut alors être impressionnant mais le pourcentage de plantes colonisées est tou- jours nettement inférieur à 5% sur les par- celles observées. D’autre part nous notons également un fort taux de parasitisme na- turel et la présence de nombreux auxiliai- res . Salades Mouche des semis Les captures de mouches des semis sont pratiquement nulles. Le vol semble donc à présent pratiquement achevé. Pucerons Après la stagnation observée la semaine dernière, la décroissance des populations amorcée il 14 jours se confirme cette semaine. Toutes les parcelles du Nord Pas-de-Calais ou de Picardie ne se trou- vent pas forcément dans le même cas",1,0,#mouche des semis #chenille #puceron #mouche ,Bul_leg_no17_cle0cd98e
3,"de figure mais tous les facteurs indiquent une diminution généralisée du niveau de « pres- s ion ». Ainsi, parmi les cultures observées, nous n’avons noté aucune parcelle dont le taux de présence des pucerons dépasse 10% de salades occupées ce qui est la 1ère fois depuis le début des infestations, en mai. Le nombre de pucerons par plantes est éga- lement en diminution. Sur plus de 500 sa- lades observées, une seule comportait une colonie de plus de 10 individus, sachant que le nombre",1,0,#puceron ,Bul_leg_no17_cle0cd98e
4,"moyen d’individus par plan- te est compris entre 1 et 3. Cette situation est valable tant pour les Céleris, choux à choucroute -Dég âts de Sclérotinia visibles en parcelles Salades, épinard Attention aux noctuelles Choux-fleurs, choux, radis, navet -Diminution du vol de mouche du chou -Faible présence des ravageurs Salades - , beaucoup d ’auxiliaires -Le mildiou reste pré- sen t Carotte, persil, céleris -Toujours des captures de mouches -Prévisions de sorties de taches de septorio- se sur plusieurs sec- teurs Poireau -Fa ib le p résence de rou le -Très importantes cap- tures de thrips sur cer- tains secteurs Oignon, échalote -Risques de mildiou lo- ca l isés Ministère de l’Agriculture et de la Pêche Direction Régionale de l’Alimentation, de l’Agriculture et de la Forêt Nord Pas-de-Calais Service Régional de l’ALimentation Protection des Végétaux 81, rue Bernard Palissy BP Loos-en-Gohelle Tél : 03.21.08.62.74 Fax : 03.21.43.97.72 parcelles conduites en agriculture biologique, que pour les pro- ductions destinées à la 1 ère ou à la 4 ème gamme. Enfin, le parasitisme naturel et les auxiliaires sont fréquemment observab les. Mildiou Pas de changement par rapport à la semaine dernière. Les pluies fréquentes ont permis à la maladie de se maintenir et, sur les parcelles non protégées, les taches de mildiou sont fréquemment présentes sur la face inférieure des feuilles de la base lors de la récolte. Carotte, céleris, persil Mouche Deux mouches ont été capturées en Picardie et également dans le Nord Pas-de-Calais. Les pièges chromatiques doivent être observés au moins une fois par semaine",1,1,#thrips #mouche #noctuelle #mouche du chou #mildiou ,Bul_leg_no17_cle0cd98e
5,"afin de décider de la conduite à tenir sur chaque parcelle. Septoriose Aucun symptôme n’a été observé en parcelle de production. De nouvelles périodes favorables aux contaminations ont été enregistrées par le modèle les 11 et 12 juillet à Gomiécourt et le Doulieu. Les sorties de taches consécutives à ces contaminations sont prévues pour les 29 et 30 juillet. Des sorties de taches sont également prévisibles, - les 5 et 6 août à Clairmarais (contaminations des 17 et 18 juillet), - le 10 août à Allesnes-les-Marais (contamination du 22 juillet). Enfin, il est encore trop tôt pour se prononcer par rapport à la date prévisionnelle de sortie de taches, car le cycle d’incubation ne fait que commencer, mais des périodes favorables aux contamina- tions ont également été observées : - le 27 juillet à Clairmarais, - les 23,24 et 27 juillet à Gomiécourt, - les 22 et 27 juillet à Le Doulieu, - les 23 et 24 juillet à Le Quesnoy, - les 23, 24, 25 et 27 juillet à St Pol/Ternoise. Le prochain bulletin fera un nouveau point à ce sujet. Les autres postes météorologiques non",0,1,#septoriose ,Bul_leg_no17_cle0cd98e
6,"cités ici ne sont pas concernés par une sortie de tache ou n’ont pas encore atteint la 3ème génération. Poireau Rouille De nouvelles pustules de rouille sont observées, y compris sur des poireaux d’automne, mais le niveau de présence reste tou- jours très mesuré pour le moment : 5% de plantes atteintes tout au plus dans les parcelles. Thrips Les captures de thrips sur les pièges chromatiques restent stables à Allouagne : un peu plus de 5 thrips/plaque/jour. Elles diminuent légèrement mais restent tout de même élevées à Worhmout : plus de 15 thrips/plaque/jour. Elles sont exceptionnel- les sur le site de Frelinghien : plus",1,1,#thrips #rouille ,Bul_leg_no17_cle0cd98e
7,"de 90 thrips/plaque/jour. Les dégâts et la présence de thrips sur les plantes varient très fortement selon les interventions effectuées jusqu’ à ce jour sur la culture. Oignon Mildiou Sur les parcelles déj à touchées, les sympt ômes de mildiou évoluent vers une sénescence des parties supérieures des feuilles atteintes. Aucune nouvelle attaque de mildiou n’a été observée cette semai- ne. Le modèle MILONI indique que de nouvelles contaminations ont été enregistrées : - les 18, 23 et 25 juillet à St Pol/Ternoise, - le 25 juillet à Attilly et Gomiécourt. Les sorties de taches issues des contaminations du 18 et 23 juillet à St Pol/Ternoise sont prévues pour le 31 juillet",1,1,#thrips #mildiou ,Bul_leg_no17_cle0cd98e
9,"et 12 juillet 22 et 27 juillet 23 et 24 juillet 23, 24,25 et 27 Trop tôt pour se prononcer juillet Pas de sortie de tache prévue ou 3ème génération non atteinte 3ème 3ème 4ème 3ème 4ème 3ème 3ème",0,0,,Bul_leg_no17_cle0cd98e
10," — N ° Retrouvez le Bulletin de santé du végétal sur le web ! www.draaf.pays-de-la-loire.agriculture.gouv.fr www.agrilianet.com — www.fredonpdl.fr • Oïdium : Pression assez forte. • Tavelures : Contaminations se- condaires. • Chancres : Nombreux symptômes. • Feu bactérien : Période à risque. • Acarien rouge : A suivre. • Pucerons : Colonisation des pous- ses • Carpocapse : Eclosions. • Tordeuses : Vol de podana. • Sésie : Vol en cours. • Psylles : Eclosions. - ïdium Observations L’inoculum est toujours bien présent dans les parcelles, avec de jeunes pousses contam inées. Les parcelles les plus touchées sont celles ayant connu des infestations en 2011. Evolution du risque La période de pousse est fa- vorable à l’oïdium, les jeunes feuilles étant très sensibles. Il faut surveiller l’apparition de symptômes pour éviter l’ex- tension de foyers. Prophylaxie Les mesures prophylactiques doivent être privilégiées en supprimant toute source d’ino- culum. Les rameaux oïdiés seront sortis de la parcelle et brûlés. Tavelures Observations Des taches sont observées sur feuilles dans quelques parcelles (Golden, Jonago- red) et plus rarement sur fruits (Gala principalement). Evolution du risque Surveiller l ’apparition de ta-",1,1,#acarien #carpocapse #tordeuse #psylle #puceron #sésie #oïdium #chancre #tavelure ,bsv_arboriculture_20120618_17__cle0655c2
